"pais","casos","casos_acumulados","fallecidos","fallecidos_acumulados","fecha","bbdd","region"
"Albania",711,29837,9,646,2020-11-19,"OMS","Global"
"Albania",786,30623,11,657,2020-11-20,"OMS","Global"
"Albania",836,31459,15,672,2020-11-21,"OMS","Global"
"Albania",737,32196,13,685,2020-11-22,"OMS","Global"
"Albania",565,32761,14,699,2020-11-23,"OMS","Global"
"Albania",795,33556,17,716,2020-11-24,"OMS","Global"
"Albania",744,34300,19,735,2020-11-25,"OMS","Global"
"Albania",644,34944,8,743,2020-11-26,"OMS","Global"
"Albania",656,35600,10,753,2020-11-27,"OMS","Global"
"Albania",645,36245,18,771,2020-11-28,"OMS","Global"
"Albania",545,36790,16,787,2020-11-29,"OMS","Global"
"Albania",835,37625,11,798,2020-11-30,"OMS","Global"
"Albania",557,38182,12,810,2020-12-01,"OMS","Global"
"Albania",832,39014,12,822,2020-12-02,"OMS","Global"
"Albania",705,39719,17,839,2020-12-03,"OMS","Global"
"Albania",782,40501,13,852,2020-12-04,"OMS","Global"
"Albania",801,41302,18,870,2020-12-05,"OMS","Global"
"Albania",846,42148,19,889,2020-12-06,"OMS","Global"
"Albania",840,42988,16,905,2020-12-07,"OMS","Global"
"Albania",695,43683,17,922,2020-12-08,"OMS","Global"
"Albania",753,44436,14,936,2020-12-09,"OMS","Global"
"Albania",752,45188,15,951,2020-12-10,"OMS","Global"
"Albania",873,46061,14,965,2020-12-11,"OMS","Global"
"Albania",802,46863,12,977,2020-12-12,"OMS","Global"
"Albania",879,47742,12,989,2020-12-13,"OMS","Global"
"Albania",788,48530,14,1003,2020-12-14,"OMS","Global"
"Albania",661,49191,13,1016,2020-12-15,"OMS","Global"
"Albania",809,50000,12,1028,2020-12-16,"OMS","Global"
"Albania",637,50637,12,1040,2020-12-17,"OMS","Global"
"Albania",787,51424,15,1055,2020-12-18,"OMS","Global"
"Albania",580,52004,11,1066,2020-12-19,"OMS","Global"
"Albania",538,52542,8,1074,2020-12-20,"OMS","Global"
"Albania",461,53003,14,1088,2020-12-21,"OMS","Global"
"Albania",422,53425,10,1098,2020-12-22,"OMS","Global"
"Albania",389,53814,13,1111,2020-12-23,"OMS","Global"
"Albania",503,54317,6,1117,2020-12-24,"OMS","Global"
"Albania",510,54827,8,1125,2020-12-25,"OMS","Global"
"Albania",553,55380,9,1134,2020-12-26,"OMS","Global"
"Albania",375,55755,9,1143,2020-12-27,"OMS","Global"
"Albania",499,56254,10,1153,2020-12-28,"OMS","Global"
"Albania",318,56572,11,1164,2020-12-29,"OMS","Global"
"Albania",574,57146,6,1170,2020-12-30,"OMS","Global"
